iter	Passed	Remaining
0	45	9132
1	96	9569
2	144	9478
3	192	9445
4	239	9356
5	285	9241
6	333	9182
7	382	9168
8	430	9142
9	475	9037
10	522	8969
11	566	8867
12	616	8873
13	672	8935
14	719	8877
15	764	8795
16	807	8688
17	849	8592
18	893	8510
19	938	8443
20	987	8419
21	1041	8424
22	1087	8367
23	1136	8335
24	1186	8304
25	1234	8260
26	1280	8203
27	1325	8139
28	1370	8082
29	1414	8016
30	1461	7965
31	1508	7920
32	1556	7874
33	1616	7894
34	1658	7819
35	1709	7785
36	1756	7740
37	1801	7681
38	1850	7638
39	1903	7614
40	1949	7559
41	1994	7503
42	2041	7455
43	2083	7386
44	2128	7333
45	2174	7278
46	2219	7226
47	2267	7181
48	2314	7130
49	2358	7076
50	2405	7029
51	2457	6993
52	2502	6942
53	2574	6959
54	2621	6911
55	2668	6862
56	2700	6775
57	2739	6707
58	2782	6650
59	2827	6597
60	2892	6590
61	2943	6551
62	2988	6497
63	3036	6451
64	3081	6400
65	3128	6352
66	3174	6301
67	3223	6257
68	3274	6217
69	3321	6168
70	3368	6120
71	3414	6070
72	3459	6018
73	3504	5967
74	3551	5919
75	3605	5882
76	3658	5843
77	3711	5804
78	3757	5755
79	3803	5705
80	3851	5658
81	3898	5609
82	3944	5560
83	3990	5511
84	4049	5479
85	4097	5431
86	4147	5386
87	4196	5341
88	4242	5290
89	4287	5240
90	4332	5189
91	4378	5140
92	4424	5090
93	4467	5037
94	4514	4989
95	4563	4943
96	4611	4897
97	4656	4846
98	4702	4796
99	4747	4747
100	4798	4703
101	4845	4655
102	4890	4605
103	4967	4585
104	5011	4534
105	5064	4490
106	5107	4439
107	5156	4392
108	5203	4343
109	5249	4294
110	5294	4245
111	5351	4204
112	5398	4156
113	5443	4106
114	5488	4056
115	5533	4007
116	5581	3959
117	5629	3912
118	5675	3863
119	5720	3813
120	5765	3764
121	5817	3719
122	5873	3676
123	5930	3634
124	5987	3592
125	6068	3563
126	6120	3518
127	6172	3472
128	6220	3423
129	6271	3377
130	6315	3326
131	6360	3276
132	6407	3228
133	6459	3181
134	6509	3134
135	6557	3085
136	6604	3037
137	6651	2988
138	6701	2940
139	6744	2890
140	6790	2841
141	6840	2793
142	6889	2746
143	6936	2697
144	7029	2666
145	7071	2615
146	7117	2566
147	7162	2516
148	7216	2469
149	7278	2426
150	7321	2375
151	7367	2326
152	7413	2277
153	7458	2227
154	7504	2178
155	7554	2130
156	7604	2082
157	7653	2034
158	7698	1985
159	7743	1935
160	7786	1886
161	7831	1837
162	7879	1788
163	7925	1739
164	7973	1691
165	8019	1642
166	8065	1593
167	8113	1545
168	8161	1497
169	8207	1448
170	8252	1399
171	8300	1351
172	8344	1302
173	8401	1255
174	8447	1206
175	8496	1158
176	8542	1110
177	8592	1061
178	8637	1013
179	8682	964
180	8729	916
181	8773	867
182	8816	818
183	8862	770
184	8909	722
185	8956	674
186	9004	625
187	9050	577
188	9101	529
189	9146	481
190	9192	433
191	9238	384
192	9284	336
193	9331	288
194	9381	240
195	9430	192
196	9487	144
197	9536	96
198	9587	48
199	9634	0
